model,metric,observed,mean,ci_low,ci_high
openrouter_gpt4_1,relation_scope_accuracy,0.17472930816531312,0.17526009042935103,0.13351486967504805,0.21860264482663389
openrouter_gpt4_1,relation_edge_consistency,0.12723795560853277,0.12756760712249862,0.09157333392850438,0.16395283278205638
openrouter_gpt4_1,visual_structural_similarity,0.0822665221338447,0.08232487433970777,0.07132351483132515,0.09381551301692492
openrouter_gpt4_1,preservation_accuracy,0.6036569147276257,0.603670591685989,0.570827533501131,0.6349178834490727
openrouter_gpt5_4_none,overall_score,0.27241255341632975,0.2723648736263437,0.24993193050361878,0.2958354404181656
openrouter_gpt5_4_none,code_executability,0.9832214765100671,0.9831602314419848,0.9675069673914322,0.9966101694915255
openrouter_gpt5_4_none,low_level_edit_accuracy,0.24248445080306227,0.24244721719468093,0.2182290079566455,0.26765743054463187
openrouter_gpt5_4_none,high_level_score,0.29228406603179935,0.29222871092015873,0.26951885224585675,0.31598063174839924
openrouter_gpt5_4_none,relation_conditioned_fidelity,0.23126087738530185,0.2312219306998406,0.1887174869424222,0.2742755296988042
openrouter_gpt5_4_none,relation_scope_accuracy,0.2745098753639802,0.2745723554587463,0.22689082079855555,0.32222012421378615
openrouter_gpt5_4_none,relation_edge_consistency,0.16638738041728435,0.16619629356148188,0.12491304449687847,0.21055700724069545
openrouter_gpt5_4_none,visual_structural_similarity,0.13342672436976744,0.13339644585838456,0.11886168980848993,0.14848480042587214
openrouter_gpt5_4_none,preservation_accuracy,0.7734786338854691,0.7733741108838813,0.7580085658736957,0.7874398772947467
qwen3_5_122b_a10b,overall_score,0.12976028276889112,0.12986163688454302,0.11110037171576287,0.1496861738989052
qwen3_5_122b_a10b,code_executability,0.6208053691275168,0.6207221083114205,0.5635690431247278,0.6756779817360021
qwen3_5_122b_a10b,low_level_edit_accuracy,0.11511845422899811,0.11518169815674001,0.0971617612064031,0.13421994681001717
qwen3_5_122b_a10b,high_level_score,0.13856367989470111,0.13868547268861095,0.11878926331089942,0.1600292741734931
qwen3_5_122b_a10b,relation_conditioned_fidelity,0.12790622985784808,0.1282249437500666,0.09066853664841874,0.16835881743984565
qwen3_5_122b_a10b,relation_scope_accuracy,0.1441893481777573,0.14455474631286055,0.10184627916595608,0.19028454659166125
qwen3_5_122b_a10b,relation_edge_consistency,0.10348155237798423,0.10373023990587563,0.0704921597018165,0.1392918376978287
qwen3_5_122b_a10b,visual_structural_similarity,0.051637378454901676,0.05167102618710146,0.04233131449534679,0.061792651048449464
qwen3_5_122b_a10b,preservation_accuracy,0.4525993035150806,0.45250706520652073,0.40937903821866173,0.4955232872595292
qwen3_vl_32b,overall_score,0.09885780743873455,0.09900947919766113,0.08241880780626075,0.11606723866793253
qwen3_vl_32b,code_executability,0.5805369127516778,0.5806603974110344,0.5208316693290735,0.639344262295082
qwen3_vl_32b,low_level_edit_accuracy,0.08808339545129545,0.08820049324269558,0.07214207357098777,0.10465659666781554
qwen3_vl_32b,high_level_score,0.10509030776590135,0.10525924493712337,0.08766846972255839,0.12335947144054146
qwen3_vl_32b,relation_conditioned_fidelity,0.11018618600850039,0.11053363717710926,0.07622379914218785,0.1471864909768088
qwen3_vl_32b,relation_scope_accuracy,0.12796182816416127,0.12842100549848445,0.08872044989390145,0.1703824756526733
qwen3_vl_32b,relation_edge_consistency,0.08352272277500905,0.08370258469504652,0.05383051913749227,0.11574842738071038
qwen3_vl_32b,visual_structural_similarity,0.034699863348922916,0.034767824474478355,0.02777953025243899,0.04222135241689568
qwen3_vl_32b,preservation_accuracy,0.3859435471569807,0.38600756948863696,0.34442985912915247,0.4267615093224266
qwen3_vl_8b,overall_score,0.041873267691318,0.041936573432467775,0.030838549584685335,0.05367214614281346
