model_a,model_b,metric,applicable_subset,observed_a_minus_b,ci_low,ci_high,p_value,significant_95,p_value_holm,significant_holm_05
glm_4_5v,openrouter_gpt5_4_none,visual_structural_similarity,all_samples,-0.09624775780863262,-0.1103500808929674,-0.08226128147246774,0.00019998000199980003,True,0.004199580041995801,True
glm_4_5v,openrouter_gpt5_4_none,preservation_accuracy,all_samples,-0.2700205311598975,-0.30604004209159746,-0.23491722836912457,0.00019998000199980003,True,0.004199580041995801,True
glm_4_5v,qwen3_5_122b_a10b,overall_score,all_samples,-0.011905478462612522,-0.03273769164942269,0.00907018132949791,0.264973502649735,False,0.264973502649735,False
glm_4_5v,qwen3_5_122b_a10b,code_executability,all_samples,0.14429530201342283,0.07324646574491223,0.2159468438538206,0.00019998000199980003,True,0.004199580041995801,True
glm_4_5v,qwen3_5_122b_a10b,low_level_edit_accuracy,all_samples,-0.0008128126073046855,-0.022392882459130643,0.020559841495964716,0.9431056894310569,False,1.0,False
glm_4_5v,qwen3_5_122b_a10b,high_level_score,all_samples,-0.020468424709236925,-0.04233901844640109,0.0010460638612747382,0.061193880611938804,False,0.12238776122387761,False
glm_4_5v,qwen3_5_122b_a10b,relation_conditioned_fidelity,relation_samples_only,-0.020130199225267043,-0.06468783407499748,0.02302400208086136,0.3621637836216378,False,1.0,False
glm_4_5v,qwen3_5_122b_a10b,relation_scope_accuracy,relation_samples_only,-0.023844075267118757,-0.07339783563887217,0.02547958940116989,0.3391660833916608,False,1.0,False
glm_4_5v,qwen3_5_122b_a10b,relation_edge_consistency,relation_samples_only,-0.014559385162489481,-0.05309833433439237,0.022923342800378426,0.44835516448355167,False,1.0,False
glm_4_5v,qwen3_5_122b_a10b,visual_structural_similarity,all_samples,-0.01445841189376687,-0.02474967020476439,-0.004763089057598754,0.0047995200479952005,True,0.014398560143985602,True
glm_4_5v,qwen3_5_122b_a10b,preservation_accuracy,all_samples,0.05085879921049105,0.0006640246855922316,0.10173844940671158,0.047995200479952004,True,0.09599040095990401,False
glm_4_5v,qwen3_vl_32b,overall_score,all_samples,0.01899699686754406,0.0009554269690976367,0.03696586481583273,0.0375962403759624,True,0.11278872112788721,False
glm_4_5v,qwen3_vl_32b,code_executability,all_samples,0.18456375838926176,0.10800719154377691,0.2596185064935065,0.00019998000199980003,True,0.004199580041995801,True
glm_4_5v,qwen3_vl_32b,low_level_edit_accuracy,all_samples,0.02622224617039797,0.006129485376720276,0.04672953702356035,0.009599040095990401,True,0.038396160383961604,True
glm_4_5v,qwen3_vl_32b,high_level_score,all_samples,0.013004947419562792,-0.004923194564218683,0.030931599807843744,0.16058394160583941,False,0.16058394160583941,False
glm_4_5v,qwen3_vl_32b,relation_conditioned_fidelity,relation_samples_only,-0.0024101553759193644,-0.03357817333590859,0.028517319429826785,0.8671132886711329,False,1.0,False
glm_4_5v,qwen3_vl_32b,relation_scope_accuracy,relation_samples_only,-0.007616555253522733,-0.0447820253063397,0.029015062230079033,0.6723327667233276,False,1.0,False
glm_4_5v,qwen3_vl_32b,relation_edge_consistency,relation_samples_only,0.005399444440485691,-0.021133991871742593,0.03196253342213994,0.6923307669233076,False,1.0,False
glm_4_5v,qwen3_vl_32b,visual_structural_similarity,all_samples,0.0024791032122118864,-0.005279623403543204,0.010358336957459437,0.5515448455154485,False,1.0,False
glm_4_5v,qwen3_vl_32b,preservation_accuracy,all_samples,0.11751455556859093,0.06538559380864983,0.1692895854216114,0.00019998000199980003,True,0.004199580041995801,True
glm_4_5v,qwen3_vl_8b,overall_score,all_samples,0.07598153661496061,0.05917254749090593,0.09367757545833377,0.00019998000199980003,True,0.004199580041995801,True
glm_4_5v,qwen3_vl_8b,code_executability,all_samples,0.40939597315436244,0.33762057877813506,0.4812286689419795,0.00019998000199980003,True,0.004199580041995801,True
